Created with UCDetector 1.10.0	2013-01-22 00:16:44	http://www.ucdetector.org/	
it.d4nguard.comics.utils.web.WebScraper.scrap(WebScraper.java:88)	Change visibility of Method "WebScraper.scrap(String)" to private	WebScraper.scrap(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comics.utils.web.WebScraper.getCurrent(WebScraper.java:94)	Method "WebScraper.getCurrent()" has 0 references	WebScraper.getCurrent()	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comics.utils.web.WebScraper.setProxy(WebScraper.java:111)	Method "WebScraper.setProxy(ProxyInfo)" has 0 references	WebScraper.setProxy(ProxyInfo)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.Commands.<init>(Commands.java:3)	Change visibility of Interface "Commands" to default - May cause compile errors!	Commands	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.<init>(ComicsImporter.java:26)	Change visibility of Class "ComicsImporter" to default - May cause compile errors!	ComicsImporter	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.getInstance(ComicsImporter.java:30)	Change visibility of Method "ComicsImporter.getInstance()" to default	ComicsImporter.getInstance()	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.getInstance(ComicsImporter.java:35)	Change visibility of Method "ComicsImporter.getInstance(String)" to default	ComicsImporter.getInstance(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.getInstance(ComicsImporter.java:40)	Method "ComicsImporter.getInstance(String,InputStream)" has 0 references	ComicsImporter.getInstance(String,InputStream)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.ComicsImporter.ComicsImporter(ComicsImporter.java:57)	Change visibility of Constructor "ComicsImporter.ComicsImporter(String)" to private	ComicsImporter.ComicsImporter(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.ComicsImporter.ComicsImporter(ComicsImporter.java:63)	Change visibility of Constructor "ComicsImporter.ComicsImporter(String,InputStream)" to private	ComicsImporter.ComicsImporter(String,InputStream)	org.ucdetector.analyzeMarkerVisibilityPrivate	
